issue_key,rule,severity,file,line,created_at,age_days,ruff_overlap,complexity_overlap,scope
AaBbSRX2jK1myYTdWYtK,typescript:S3776,CRITICAL,src/lib/birth-profile-api.ts,405,2026-08-31,6,,,mutable
AaBbSRa3jK1myYTdWYtb,typescript:S3776,CRITICAL,src/lib/election-chart-api.ts,308,2026-08-31,6,,,mutable
AaBbSRYSjK1myYTdWYtM,typescript:S3776,CRITICAL,src/lib/guest-profile-store.ts,1014,2026-08-31,6,,,mutable
AaBbSRYSjK1myYTdWYtN,typescript:S3776,CRITICAL,src/lib/guest-profile-store.ts,1040,2026-08-31,6,,,mutable
AaBbSRYSjK1myYTdWYtO,typescript:S3776,CRITICAL,src/lib/guest-profile-store.ts,1133,2026-08-31,6,,,mutable
AaB1lYVLX0yOWYZfKFdx,typescript:S3776,CRITICAL,src/lib/parse-description.ts,65,2026-09-05,1,,,mutable
AaBbSRfKjK1myYTdWYuM,typescript:S3776,CRITICAL,src/main.ts,190,2026-08-31,6,,,mutable
AaBbSRdajK1myYTdWYt1,typescript:S3776,CRITICAL,src/panels/gochara.ts,121,2026-08-31,6,,,mutable
AZ_4lyI14HbJenSxEGQU,typescript:S3776,CRITICAL,src/panels/gochara.ts,564,2026-07-21,47,,,mutable
AaBbSRdajK1myYTdWYt4,typescript:S3776,CRITICAL,src/panels/gochara.ts,789,2026-08-31,6,,,mutable
AaBbSRd-jK1myYTdWYuA,typescript:S3776,CRITICAL,src/panels/profiles.ts,495,2026-08-31,6,,,mutable
AaBbSRd-jK1myYTdWYuB,typescript:S3776,CRITICAL,src/panels/profiles.ts,646,2026-08-31,6,,,mutable
AaBbSRd-jK1myYTdWYuC,typescript:S3776,CRITICAL,src/panels/profiles.ts,1039,2026-08-31,6,,,mutable
AaBbSRd-jK1myYTdWYuE,typescript:S3776,CRITICAL,src/panels/profiles.ts,1267,2026-08-31,6,,,mutable
AaBbSRd-jK1myYTdWYuH,typescript:S3776,CRITICAL,src/panels/profiles.ts,1817,2026-08-31,6,,,mutable
AaBbSRcyjK1myYTdWYte,typescript:S3776,CRITICAL,src/panels/tarabalam.ts,266,2026-08-31,6,,,mutable
AaBbSRcyjK1myYTdWYtj,typescript:S3776,CRITICAL,src/panels/tarabalam.ts,630,2026-08-31,6,,,mutable
AZ_4lyIo4HbJenSxEGPh,typescript:S3776,CRITICAL,src/panels/tarabalam.ts,1089,2026-07-18,50,,,mutable
AZ_4lyIo4HbJenSxEGP0,typescript:S3776,CRITICAL,src/panels/tarabalam.ts,1662,2026-07-22,46,,,mutable
AaBbSRcyjK1myYTdWYtm,typescript:S3776,CRITICAL,src/panels/tarabalam.ts,2491,2026-08-31,6,,,mutable
AaBst7KM9MBxg5veotNc,typescript:S3776,CRITICAL,src/panels/tarabalam.ts,2712,2026-09-04,2,,,mutable
AaBst7KM9MBxg5veotNd,typescript:S3776,CRITICAL,src/panels/tarabalam.ts,2714,2026-09-04,2,,,mutable
AaB1lYYwX0yOWYZfKFd2,typescript:S3776,CRITICAL,src/panels/tarabalam.ts,2856,2026-09-05,1,,,mutable
AaBst7KM9MBxg5veotNv,typescript:S3776,CRITICAL,src/panels/tarabalam.ts,2983,2026-09-04,2,,,mutable
AaBbSRejjK1myYTdWYuI,typescript:S3776,CRITICAL,src/panels/today.ts,228,2026-08-31,6,,,mutable
AZ_4lyJK4HbJenSxEGQ3,typescript:S3776,CRITICAL,src/panels/today.ts,439,2026-07-18,50,,,mutable
AZ_4lyJK4HbJenSxEGQ4,typescript:S3776,CRITICAL,src/panels/today.ts,595,2026-07-18,50,,,mutable
AaBst7Db9MBxg5veotNM,typescript:S3776,CRITICAL,src/scorer/election-assessors/primitives.ts,198,2026-09-04,2,,,mutable
AaBst7Db9MBxg5veotNN,typescript:S3776,CRITICAL,src/scorer/election-assessors/primitives.ts,392,2026-09-04,2,,,mutable
AaBbSRXbjK1myYTdWYs8,typescript:S3776,CRITICAL,src/scorer/election-chart-enrichment.ts,301,2026-08-31,6,,,mutable
AaBweEQfy_01LXV_JFei,typescript:S3776,CRITICAL,src/scorer/election-chart-screening.ts,102,2026-09-05,1,,,mutable
AaBst7Dr9MBxg5veotNO,typescript:S3776,CRITICAL,src/scorer/election-chart-screening.ts,213,2026-09-04,2,,,mutable
AaBbSRXDjK1myYTdWYss,typescript:S3776,CRITICAL,src/scorer/personal-election-screening.ts,167,2026-08-31,6,,,mutable
AaBbSRXDjK1myYTdWYsz,typescript:S3776,CRITICAL,src/scorer/personal-election-screening.ts,344,2026-08-31,6,,,mutable
AZ_4lyDx4HbJenSxEGOb,python:S1192,CRITICAL,telugu_panchangam/cities.py,5,2026-06-17,81,,,mutable
AZ_4lyDp4HbJenSxEGOa,python:S3776,CRITICAL,telugu_panchangam/eclipses.py,91,2026-06-10,88,,,mutable
AZ_4lyCp4HbJenSxEGOP,python:S1192,CRITICAL,telugu_panchangam/engines/base.py,41,2026-06-11,87,I001=4,_festivals=22,frozen-engine
AZ_4lyCp4HbJenSxEGOQ,python:S3776,CRITICAL,telugu_panchangam/engines/base.py,408,2026-06-16,82,I001=4,_festivals=22,frozen-engine
AZ_4lyC-4HbJenSxEGOV,python:S3776,CRITICAL,telugu_panchangam/generators/ics.py,128,2026-06-11,87,E701=6;E731=2;F541=1;I001=1,_description=24,frozen-ics
AZ_4lyCa4HbJenSxEGOO,python:S3776,CRITICAL,telugu_panchangam/gochara/rules.py,50,2026-06-11,87,,,mutable
AZ_4lyDU4HbJenSxEGOY,python:S3776,CRITICAL,telugu_panchangam/graha_yuddha.py,139,2026-06-17,81,,,mutable
AZ_4lyDJ4HbJenSxEGOX,python:S3776,CRITICAL,telugu_panchangam/ingress.py,96,2026-06-17,81,,,mutable
AZ_4lyDg4HbJenSxEGOZ,python:S3776,CRITICAL,telugu_panchangam/maudhya_calendar.py,167,2026-06-17,81,,,mutable
